content,sentiment
aplikasi ini bermanfaat supaya bisa melihat lokasi driver online tsb,1
mahal kalah bersaing selamat tinggal grab terima kasih sudah menemani selama bertahun tahun,-1
aplikasi anjing gua udh di paketin tpi gk nemu driver tpi promo di ambil anjing aplikasi gk guna,-1
sistem aplikasi lemot  keluar sendiri ,-1
saya baru instal ulang apk nya tapi pas diminta akses lokasi ko gabisa yamalah ngulang terus minta akses lokasi  tolong dong ini lagi gangguan apa begimana,-1
best of the best choice,1
suka tidak ada pengemudi padahal pengemudi banyak aplikasi aneh,-1
grab makin jelek pesan pst drivernya jauh bgt dri titik    tdk kyk dulu lagi   dlu tiap memesan drivernnya pst tdk jauh dri titik skrg memesan driver malah dekat sm titik ke    grab tak seindah dulu   ,-1
mengantar lebih cepat dan penjemputannya akurat terima kasih grab,1
jelek banget jangan download ini tipuan,-1
harus di tingkatkan kembali system nya,-1
lagi butuh ojol download grab biar gampang tp udh lupa akun sekalinya daftar akun baru yg muncul cuma tulisan eroor trs gimana sih,-1
aplikasinya jelek pas mau kasih bintang ke drivernya malah jadinya bintang mana gk bisa diubah lagi,-1
gak bisa log in     trus buat apa di download kalo gak bisa dipakai,-1
mahal amat tarif ya   harganya xlipat dri aplikasi gojek,-1
dengan grab food jd gampang   malam ini hujan ngak berhenti untung saja ada grab food   tq bang grab ,1
ya allah aplikasinya baguss banget,1
lumayan membantulah saat butuh order makanan,1
kadang suka error but overall sangat membantu,1
aplikasi kontol padaahal sayaa pengguna samsung note gabisa buat daftar grab kontoll,-1
aplikasinya kalo cari lokasi kembalik ke branda awal,1
saya amat kecewa dengan pelayanan grab ,-1
daptar y ribet banget ga bisa,-1
saya update kok malahan dapat note begini tidak dapat meng instal grab udah x   sangat buruk,-1
aplikasinya gk bsa d downloaddh tga kali sya coba gak bsa,-1
memudahkan dalam segala hal,1
gak ribet dan murah banyak diskon,1
keren tp terlalu sering minta update,1
saya kurang paham su tidak melakukan hal yg anih karna grab adalah kebyuhan   yl knp akun saya di tangguhkan,-1
keren bnget deh aplikasi ini    ,1
selalu mendapat pengemudi yang jauh dari destinasi,-1
aplikasi tiap dibuka ketutup sendiri puluhan kali nyoba baru bisa kalo kerja make grab harus mesen setengah jam sebelum berangkat karna aplikasinya kocak   kalo mau makan harus mesen sejam sebelum laper   bukannya mempermudah urusan orang malah mempersulit   ,-1
boleeeh,1
bagi drever madura kenapa gak ada yang mau ambil arah kali anak mohon bagi admin grab di perhatikan konsumenya,-1
kenapa gak bisa di bukaaplikasi nya   ,1
sangat membantu banget si grab ini majus terus datuk     y,1
mantap aplikasi nya bisa beli tanpa jalan,1
aplikasi sangat membantu    mantapppp,1
sering hang dan lag ,-1
hari ini januari saya cobapesen grab dari tlogosari ke tembalang dengan biaya rp   kalau pakek ovo dan rp   kalau tunai sayang nya ovo saya di bawah rp    akhirnya saya gak jadi pesen ngisi ovo dulu rp    eh begitu di isi mau pesen lg dari tujuan yg sama dan lokasi jemput yg sama malah jadi rp k pakek ovo sedangkan tunai k  ngrasa kecewa bgt sih ,-1
gk di update gk bisa di gunakan gimana sich grab ni di instal balik udah   malah gk bisa di pasang jelek aplikasi nya,-1
sangat membantu dan pelayanannya bagus recomended,1
mengecewakan  ada potongan disc tpi saat d pakai malah gak bisa  alias batas penukaran habis padahal sama sekali belom d pakek   makin gak jelas aja nih grab bikin kecewa padahal udh lebih dr setahun pakek grab,-1
aplikasinya mantap sangat membantu dan mempermudah,1
klo driver nya kerja nya bagus br bintang  ,-1
sellu baik dan saling menghargai,1
baru kali ini mesan delivery food lama pakai banget padahal itu minuman loh es bisa mencair dan udah ga enak lagi saat di minum ku paham memang ada aplikasi searah tapi pentingin konsumen juga yang nunggu lama cuman kepingin minum tolong aplikasinya buat yang delivery di perbaiki lagii kalau bisa kurir yang terima minuman semua jangan juga yang searahan sampai jaaauuhhhh ini lah sebabnya bikin rating kurir jelek   ,-1
gmna sih udah donlod udah daftar   ga bisa di buka,-1
yeayy,1
mantap sekarang poin bisa diubah jadi promo   cma kalo penjemputan dan tujuan udah dibuat mobilnya jdi ga keliatan    dah lumayan lah,1
tolong donk driver nya jangan kebanyakan kode dengan nabrak  atau rem  mendadak klu ada macet krn merasa rugi waktu ga bisa cepet dan di byr sesuai argo  utk dpt tips atau minta tips tdk gitu juga cara nya  macet atau ga macet dan dpt tips atau tdk ya itu resiko dri pekerjaan jgn sllu mengharapkan tips krn org naik grab itu utk lebih hemat  jika ada lbh uang pasti di ksh tips ,-1
makin sini makin pelit aja promo nya   mau bangkrut  ,-1
kl naik grab praktis mau kmn jg,1
baru keupdate hari ini malah kurang fitur isi pulsa  ,-1
gabisa diupgrade udah ampe apus aplikasi banyak  udh mau persen eh gagal begitu trs ampe berkali,-1
lebih di tingkat kan lg goegle maps nya spy sesuai dngn alamat yg di cari  dan mempermudah driver tuk penjemputan nya  trima kasih,1
susah ah nginstal gtab     males,-1
